,hs2_name
Machines,26380
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,14829
Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,10212
Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,7828
Plastics and articles thereof.,6106
Articles of iron or steel.,5106
Iron and steel.,5011
Organic chemicals.,4370
Tools  implements  cutlery  spoons and forks  of base metal; parts thereof of base metal.,3544
Rubber and articles thereof.,3384
Man-made filaments; strip and the like of man-made textile materials.,2362
